record_id,reporting_date,programme_name,sector,state,lga,community,predicted_risk,high_risk_model_score,primary_driver,secondary_driver,tertiary_driver,strongest_protective_signal,recommended_investigation,decision_use
ES-000218,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 1,Low,7.666570224859199e-10,Low activity completion,Elevated complaints,Previous-month achievement pattern,Strong achievement,Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Review recent performance trends for persistent underachievement.,Recommended for human review; the model does not make operational decisions.
ES-005562,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 6,Low,6.164726499848499e-25,Low staff availability,Lower data quality,Supply delay,Strong achievement,"Review staffing coverage, absences and field deployment capacity. | Validate source data, completeness and reporting quality. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-003002,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 4,Medium,0.1465524625188912,Low activity completion,Low achievement,Reporting delay,Limited supply delay,Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.,Recommended for human review; the model does not make operational decisions.
ES-006202,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 2,Medium,0.1798658278067721,Low achievement,Elevated complaints,Access constraints,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-001530,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Gwoza,Gwoza Site 6,Medium,0.0674838539416516,Reporting delay,Low achievement,Elevated complaints,Limited supply delay,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-005338,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 5,Low,8.124360466301165e-13,Access constraints,Lower data quality,Low activity completion,Timely reporting,"Review access, movement and operational constraints affecting delivery. | Validate source data, completeness and reporting quality. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-006970,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 2,Medium,0.0017642115713936,Low achievement,Lower data quality,Low staff availability,Timely reporting,"Review progress against targets and identify implementation bottlenecks. | Validate source data, completeness and reporting quality. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-007450,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 5,Low,7.932086698335822e-11,Supply delay,Low activity completion,Elevated complaints,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
ES-006682,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 5,High,0.9999012051653456,Low achievement,Low activity completion,Supply delay,Previous-month achievement pattern,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-000026,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 1,Low,8.070978963556525e-36,Access constraints,Previous-month achievement pattern,Budget utilisation pattern,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Review recent performance trends for persistent underachievement. | Review expenditure patterns against implementation progress.",Recommended for human review; the model does not make operational decisions.
ES-007130,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 1,Low,2.8871687452879226e-23,Elevated complaints,Previous-month achievement pattern,Budget utilisation pattern,Strong achievement,Review feedback and complaint records for recurring operational issues. | Review recent performance trends for persistent underachievement. | Review expenditure patterns against implementation progress.,Recommended for human review; the model does not make operational decisions.
ES-000602,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 1,Low,6.305019725141395e-23,Supply delay,Lower data quality,Previous-month achievement pattern,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Validate source data, completeness and reporting quality. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-003034,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 5,Low,8.278413624240224e-12,Low achievement,Low staff availability,Supply delay,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Review staffing coverage, absences and field deployment capacity. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-000890,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 4,Medium,4.510070787551989e-05,Low achievement,Low staff availability,Low activity completion,Timely reporting,"Review progress against targets and identify implementation bottlenecks. | Review staffing coverage, absences and field deployment capacity. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-005786,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Dikwa,Dikwa Site 1,Low,1.4635558967062004e-15,Access constraints,,,Limited supply delay,"Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-000826,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 2,Low,2.67857108954193e-10,Access constraints,Low achievement,Supply delay,Timely reporting,"Review access, movement and operational constraints affecting delivery. | Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-000346,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 5,Low,1.043442565967652e-13,Low activity completion,Supply delay,Low staff availability,Strong achievement,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-004666,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 2,Low,7.169876887223304e-21,Supply delay,Lower data quality,Previous-month achievement pattern,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Validate source data, completeness and reporting quality. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-003866,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 1,Medium,1.6257860468760975e-05,Low achievement,Low activity completion,Supply delay,Lower access constraints,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-003066,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Gwoza,Gwoza Site 6,High,0.8590603887478031,Reporting delay,Low achievement,Low activity completion,Limited supply delay,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints.,Recommended for human review; the model does not make operational decisions.
ES-006298,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 5,Medium,1.1517129321812651e-05,Low activity completion,Low achievement,Access constraints,Lower complaints,"Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-003450,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 6,Low,9.316616717025723e-27,Supply delay,Previous-month achievement pattern,Budget utilisation pattern,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review recent performance trends for persistent underachievement. | Review expenditure patterns against implementation progress.",Recommended for human review; the model does not make operational decisions.
ES-004634,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Maiduguri,Maiduguri Site 1,Medium,3.4829988003583303e-06,Low achievement,Low activity completion,Lower data quality,Limited supply delay,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-004538,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 4,Low,1.5781272628131989e-19,Access constraints,Budget utilisation pattern,Lower data quality,Timely reporting,"Review access, movement and operational constraints affecting delivery. | Review expenditure patterns against implementation progress. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-003930,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 3,Medium,0.00767232796354,Low achievement,Supply delay,Reporting delay,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.",Recommended for human review; the model does not make operational decisions.
ES-001914,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 6,Low,3.236111973330765e-15,Low activity completion,Lower data quality,Previous-month achievement pattern,Strong achievement,"Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-006330,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 6,Low,7.253698116837015e-14,Supply delay,Low activity completion,Lower data quality,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-005466,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 3,Low,1.2816233928296886e-06,Access constraints,Low activity completion,Low staff availability,Limited supply delay,"Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-001946,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 1,Low,1.3354680728934988e-12,Reporting delay,Low activity completion,Access constraints,Strong achievement,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-007034,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 4,Low,2.285659454336008e-09,Reporting delay,Low achievement,Budget utilisation pattern,Strong activity completion,Validate reporting timeliness and follow up on delayed field submissions. | Review progress against targets and identify implementation bottlenecks. | Review expenditure patterns against implementation progress.,Recommended for human review; the model does not make operational decisions.
ES-007098,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 6,Medium,0.0012971975917189,Reporting delay,Low activity completion,Access constraints,Limited supply delay,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-005498,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 4,Low,2.1341372393186343e-08,Elevated complaints,Supply delay,Low staff availability,Strong activity completion,"Review feedback and complaint records for recurring operational issues. | Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-005050,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 2,Medium,1.5094020850794632e-05,Reporting delay,Low activity completion,Elevated complaints,Strong achievement,Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-003290,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 1,Low,2.0952934508462962e-18,Low activity completion,Access constraints,Lower data quality,Limited supply delay,"Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-004602,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 6,Medium,0.0001815040863354,Low achievement,Supply delay,Elevated complaints,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
ES-000922,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Bama,Bama Site 5,Medium,1.0464244297439403e-05,Reporting delay,Low activity completion,Lower data quality,Strong achievement,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-000282,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 3,Medium,0.3730188616340671,Supply delay,Low activity completion,Access constraints,Timely reporting,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-006170,2026-02-01,WASH Resilience Initiative,WASH,Borno,Maiduguri,Maiduguri Site 1,Low,8.144018869941771e-07,Reporting delay,Low activity completion,Lower data quality,Limited supply delay,"Validate reporting timeliness and follow up on delayed field submissions. | Review delayed or incomplete activities and implementation constraints. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-007290,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 6,High,0.9393504952928304,Low achievement,Access constraints,Low staff availability,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-001978,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 2,Medium,0.0002406188219155,Low achievement,Low activity completion,Elevated complaints,Limited supply delay,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-007066,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 5,Low,1.1947215336764065e-07,Supply delay,Reporting delay,Low staff availability,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-002010,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 3,Low,6.14641983860868e-08,Reporting delay,Access constraints,Low activity completion,Limited supply delay,"Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-000314,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 4,Low,1.0892385515966784e-16,Supply delay,Low staff availability,Previous-month achievement pattern,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity. | Review recent performance trends for persistent underachievement.",Recommended for human review; the model does not make operational decisions.
ES-007386,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 3,Low,2.1366594050315986e-10,Supply delay,Low staff availability,Lower data quality,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-003322,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 2,Medium,7.413208697662972e-07,Reporting delay,Lower data quality,Low activity completion,Limited supply delay,"Validate reporting timeliness and follow up on delayed field submissions. | Validate source data, completeness and reporting quality. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-007322,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 1,Medium,3.6779133864944e-05,Supply delay,Low activity completion,Access constraints,Timely reporting,"Review procurement, logistics and supply-chain bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-003898,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 2,Medium,0.0004275548545238,Low achievement,Elevated complaints,Low staff availability,Limited supply delay,"Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-002106,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 6,Low,2.0456923723780303e-09,Elevated complaints,Access constraints,Low activity completion,Strong achievement,"Review feedback and complaint records for recurring operational issues. | Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-003386,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 4,Low,4.467883401608187e-11,Access constraints,Low activity completion,Elevated complaints,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
ES-001818,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 3,Medium,0.0002672306780807,Low activity completion,Elevated complaints,Supply delay,Lower access constraints,"Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-003962,2026-02-01,Education Access Project,Education,Borno,Bama,Bama Site 4,Medium,0.0048481178605964,Low achievement,Low activity completion,Low staff availability,Lower complaints,"Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-007002,2026-02-01,WASH Resilience Initiative,WASH,Borno,Bama,Bama Site 3,Low,1.1984516473752356e-08,Elevated complaints,Access constraints,Low achievement,Timely reporting,"Review feedback and complaint records for recurring operational issues. | Review access, movement and operational constraints affecting delivery. | Review progress against targets and identify implementation bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-007226,2026-02-01,WASH Resilience Initiative,WASH,Borno,Ngala,Ngala Site 4,Medium,2.776528910067158e-05,Supply delay,Low achievement,Low activity completion,Lower complaints,"Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-005530,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 5,Low,4.687964152604594e-18,Elevated complaints,Previous-month achievement pattern,Budget utilisation pattern,Strong achievement,Review feedback and complaint records for recurring operational issues. | Review recent performance trends for persistent underachievement. | Review expenditure patterns against implementation progress.,Recommended for human review; the model does not make operational decisions.
ES-002042,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 4,Low,6.236061609683038e-11,Low activity completion,Elevated complaints,Access constraints,Limited supply delay,"Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-007354,2026-02-01,WASH Resilience Initiative,WASH,Borno,Dikwa,Dikwa Site 2,Medium,6.149763395515455e-05,Elevated complaints,Low achievement,Low activity completion,Limited supply delay,Review feedback and complaint records for recurring operational issues. | Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints.,Recommended for human review; the model does not make operational decisions.
ES-005370,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Mafa,Mafa Site 6,Medium,0.1058847670567708,Low achievement,Supply delay,Reporting delay,Strong staff availability,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions.",Recommended for human review; the model does not make operational decisions.
ES-001850,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 4,Medium,0.0001249163495492,Low activity completion,Low achievement,Supply delay,Lower complaints,"Review delayed or incomplete activities and implementation constraints. | Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-003354,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 3,Medium,0.0002019089105076,Low achievement,Low activity completion,Elevated complaints,Limited supply delay,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Review feedback and complaint records for recurring operational issues.,Recommended for human review; the model does not make operational decisions.
ES-002074,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Konduga,Konduga Site 5,Medium,5.998351368080271e-06,Low achievement,Supply delay,Low staff availability,Strong activity completion,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-000250,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Jere,Jere Site 2,Low,5.310385974994047e-10,Access constraints,Reporting delay,Supply delay,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-004570,2026-02-01,Education Access Project,Education,Borno,Gwoza,Gwoza Site 5,Medium,0.002916550294895,Low achievement,Access constraints,Elevated complaints,Limited supply delay,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
ES-001882,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 5,Low,8.500328519738507e-19,Access constraints,Supply delay,Lower data quality,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Review procurement, logistics and supply-chain bottlenecks. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-000634,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 2,Low,9.489320014770376e-11,Supply delay,Lower data quality,Low activity completion,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Validate source data, completeness and reporting quality. | Review delayed or incomplete activities and implementation constraints.",Recommended for human review; the model does not make operational decisions.
ES-004890,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 3,Medium,1.4905080678949474e-06,Low activity completion,Supply delay,Low staff availability,Strong achievement,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-001786,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 2,Low,4.2264573187354856e-10,Access constraints,Low achievement,Elevated complaints,Limited supply delay,"Review access, movement and operational constraints affecting delivery. | Review progress against targets and identify implementation bottlenecks. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
ES-002554,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Ngala,Ngala Site 2,Low,7.0728551741425485e-25,Access constraints,Previous-month achievement pattern,Lower data quality,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Review recent performance trends for persistent underachievement. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-006650,2026-02-01,WASH Resilience Initiative,WASH,Borno,Konduga,Konduga Site 4,Low,2.212414875572554e-09,Access constraints,Reporting delay,Supply delay,Strong achievement,"Review access, movement and operational constraints affecting delivery. | Validate reporting timeliness and follow up on delayed field submissions. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-004154,2026-02-01,Education Access Project,Education,Borno,Ngala,Ngala Site 4,High,0.9431218902605468,Low achievement,Access constraints,Supply delay,Timely reporting,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-005178,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Konduga,Konduga Site 6,High,0.7468845193315616,Low achievement,Supply delay,Elevated complaints,Strong staff availability,"Review progress against targets and identify implementation bottlenecks. | Review procurement, logistics and supply-chain bottlenecks. | Review feedback and complaint records for recurring operational issues.",Recommended for human review; the model does not make operational decisions.
